Day,Time,Type,Event Title,Event Subtitle,Event Subtitle Link,Event Speaker,Session,Track,Room,Chair,Paper ID,Presenter,Paper Title,Paper Authors
16-Jun-26,11:50,Tracks,,,,,"Automation, Human factors, and decision support systems I",3,C,Aurélie Arntzen (University of Southern Norway),54,Zhi Jun Lim (NTU),Retrospective Validation of a Data-Driven TMA Complexity Model with Air Traffic Controllers,"Ziqing Xia, Sameer Alam (NTU) and Duc-Thinh Pham (VinUniversity)"
16-Jun-26,12:30,Highlight_Info,Lunch,,,,,,,,,,,
16-Jun-26,13:30,Tracks,,,,,Doctoral paper session 1,1,A,David Lovell (UMd),,Raúl López-Martín (IFISC),Towards a retrospective evaluation of sector complexity metrics,
16-Jun-26,14:00,Tracks,,,,,Doctoral paper session 1,1,A,David Lovell (UMd),,Fedja Netjasov (University of Belgrade),Developing an Industry-Ready Methodology for Instrument Approach Procedures Optimization,
16-Jun-26,14:30,Tracks,,,,,Doctoral paper session 1,1,A,David Lovell (UMd),,Jaehan Im (UT Austin),Noncooperative Coordination for Decentralized Air Traffic Management,
16-Jun-26,13:30,Tracks,,,,,Doctoral paper session 2,2,B,Hartmut Fricke (TU Dresden),,Feezan Akhtar (Queen Mary University of London),Routing and Scheduling Optimisation for Airport Ground Operations: An Incremental Constraints Study,
16-Jun-26,14:00,Tracks,,,,,Doctoral paper session 2,2,B,Hartmut Fricke (TU Dresden),,Felix Constantin Hoch (TU Dresden),Data-Driven Quantification and Classification of Service Disruptions at Airports,
16-Jun-26,14:30,Tracks,,,,,Doctoral paper session 2,2,B,Hartmut Fricke (TU Dresden),,Josu Blanco (IFISC),Too Busy to Depeak: Quantifying the Persistence of Peaked Schedules at European Airports,
16-Jun-26,13:30,Tracks,,,,,Doctoral paper session 3,3,C,Dirk Schaefer (EUROCONTROL),,Celina Vetter (Zurich University of Applied Sciences),ATCO Perceptions of AI Decision Support in Air Traffic Control: Advisory and Execution Modes,
16-Jun-26,14:00,Tracks,,,,,Doctoral paper session 3,3,C,Dirk Schaefer (EUROCONTROL),,Minghua Zhang (Beihang University),Towards Human-centered Flight-Deck Guidance for Surface Trajectory-Based Operations,
16-Jun-26,14:30,Tracks,,,,,Doctoral paper session 3,3,C,Dirk Schaefer (EUROCONTROL),,Julia Tao (MIT),Fuel Leak Hazard Management for Hydrogen and Methane Aircraft,
16-Jun-26,15:00,Highlight_Info,Coffee,,,,,,,,,,,
16-Jun-26,15:30,Tracks,,,,,ATM performance measurement and management II,1,A,Xavier Olive (ONERA),104,Verdiana Bottino (DLR),Validation of the Flight Centric ATC Concept in the Ukrainian Airspace: A Real-Time Simulation,Mara Weber and Ana Paz Goncalves Martins (DLR)
16-Jun-26,16:10,Tracks,,,,,ATM performance measurement and management II,1,A,Xavier Olive (ONERA),99,Marek Homola (MIT),Worldwide Assessment of Vertical Airspace Flexibility in Enroute Airspace,Marek Travnik (Imperial College) and John Hansman (MIT)
16-Jun-26,16:50,Tracks,,,,,ATM performance measurement and management II,1,A,Xavier Olive (ONERA),131,Jing Xu (UC Berkeley),From Disruption Mitigation to Policy Compliance: Airline Cancellation Strategies Under the November 2025 FAA Emergency Order,Mark Hansen (UC Berkeley)
16-Jun-26,15:30,Tracks,,,,,Advanced air mobility II,2,B,Lishuai Li (City University of Hong Kong),120,Md Ashraful Islam (TU Dresden),Probabilistic Collision Modeling for UAS under Wind-Induced Uncertainty,"Stanley Förster, Hartmut Fricke (TU Dresden) and John Shortle (GMU)"
16-Jun-26,16:10,Tracks,,,,,Advanced air mobility II,2,B,Lishuai Li (City University of Hong Kong),132,Jasmine Jerry Aloor (MIT),Decentralized Autonomous Traffic Management through Corridor Networks,Aadarsh Govada (UMd) and Hamsa Balakrishnan (MIT)
16-Jun-26,16:50,Tracks,,,,,Advanced air mobility II,2,B,Lishuai Li (City University of Hong Kong),31,Jordan Sakakeeny (NASA),Uncrewed Aircraft System Lost Command and Control Link Arrival Procedures with Simulated Air Traffic Control Resolution Maneuvers,"David P. Thipphavong, Todd A. Lauderdale (NASA), Nadezhda Dimitrova (Metis Technology Solutions), Vishwanath Bulusu and James D. Phillips (Crown Innovations)"
16-Jun-26,15:30,Tracks,,,,,"Automation, human factors, and decision support systems II",3,C,Aurélie Arntzen (University of Southern Norway),19,Alex Konkel (FAA),Human-in-the-Loop Simulation Study of the Conflict Alert Parameter: An Attempt to Reduce Nuisance Alerts,"Elena St. Amour, Nelson Brown (FAA) and Mark Olsen (ATC Discover)"
16-Jun-26,16:10,Tracks,,,,,"Automation, human factors, and decision support systems II",3,C,Aurélie Arntzen (University of Southern Norway),29,Marta Sánchez Cidoncha (CRIDA),Operational Evaluation of Machine Learning–Based Miles-to-Touchdown Prediction in Terminal Airspace,"Faustino Tello Caballo, Diego Piva Álvarez (CRIDA), José Recio Sánchez and María del Prado Plaza García (ENAIRE)"
16-Jun-26,16:50,Tracks,,,,,"Automation, human factors, and decision support systems II",3,C,Aurélie Arntzen (University of Southern Norway),18,Elena St. Amour (FAA),A Characterization of Air Traffic Controller Eye Movements in Response to Conflict Alerts,"Alexander Konkel, Nelson Brown (FAA) and Mark Olsen (ATC Discover)"
17-Jun-26,6:00,Info,5K fun run/walk,,,,,,,,,,,
17-Jun-26,8:45,Highlight_Info,Coffee,,,,,,,,,,,
17-Jun-26,9:00,Tracks,,,,,Air traffic flow management and optimization I,1,A,Joseph Post (USF),22,Junqiang Wan (Civil Aviation University of China),En-Route Sector Demand Prediction with a Long- and Short-Term Transformer-Based Spatiotemporal Network,"Yifei Zhao, Hongyong Wang (Civil Aviation University of China), Xavier Prats (Technical University of Catalonia) and Max Z. Li (UMich)"
17-Jun-26,9:40,Tracks,,,,,Air traffic flow management and optimization I,1,A,Joseph Post (USF),34,Huijuan Yang (ENAC),A Flight-Centric Decision Support Framework for Tactical Airspace Congestion Mitigation under Multi-Scale Traffic Volume Constraints,"Daniel Delahaye (ENAC), Chunyao Ma and Sameer Alam (NTU)"
17-Jun-26,10:20,Tracks,,,,,Air traffic flow management and optimization I,1,A,Joseph Post (USF),35,Ying Zhou (NTU),Trajectory Options Planning under Uncertainty with Risk-Sensitive Airline Preferences,"Sameer Alam (NTU), Mark Hansen (UC Berkeley) and Daniel Delahaye (ENAC)"
17-Jun-26,9:00,Tracks,,,,,Environment and energy efficiency,2,B,Javier Lopes (Boeing),26,Ramon Dalmau (EUROCONTROL),Correlating Physical Contrail Models with Ground-Based Observations,Gabriel Jarry and Philippe Very (EUROCONTROL)
17-Jun-26,9:40,Tracks,,,,,Environment and energy efficiency,2,B,Javier Lopes (Boeing),59,Lishuai Li (City University of Hong Kong),Uncertainty Quantification in Flight Time Prediction for Airline Flight Planning,Ruijia Gu and Chi Li (City University of Hong Kong)
17-Jun-26,10:20,Tracks,,,,,Environment and energy efficiency,2,B,Javier Lopes (Boeing),94,Gérald Gurtner (University of Westminster),A new modulation charging concept to reduce CO2 and non-CO2 emissions,Tatjana Bolic (University of Westminster)
17-Jun-26,9:00,Tracks,,,,,"Automation, human factors, and decision support systems III",3,C,José Miguel De Pablo (CRIDA/Enaire),103,Edward Henderson (The Alan Turing Institute),Graph-based Complexity Forecasts in UK En Route Airspace Using Relevant Aircraft Interactions,George De Ath (University of Exeter) and Nick Pepper (The Alan Turing Institute)
17-Jun-26,9:40,Tracks,,,,,"Automation, human factors, and decision support systems III",3,C,José Miguel De Pablo (CRIDA/Enaire),114,Àlex Padrós (Indra),Real-Time Direct Route Recommendation using Rule-Based Algorithms: Conflict-Free Advisories for Environmental Impact Reduction,Víctor-Manuel Martínez-García and Álvaro Quintanar (Indra)
17-Jun-26,10:20,Tracks,,,,,"Automation, human factors, and decision support systems III",3,C,José Miguel De Pablo (CRIDA/Enaire),115,Anahita Jain (MIT),Benefits and Limits of Self-Organization in Autonomous Air Traffic Operations,Husni Idris (NASA) and John-Paul Clarke (UT Austin)
17-Jun-26,11:00,Highlight_Info,Coffee,,,,,,,,,,,
17-Jun-26,11:30,Tracks,,,,,Doctoral paper session 1,,A,David Lovell (UMd),,Mitsuki Tanoue (Osaka Metropolitan University),A Three-Stage Probabilistic Pipeline for Departure-to-Cruise Prediction,
17-Jun-26,12:00,Tracks,,,,,Doctoral paper session 1,,A,David Lovell (UMd),,Micah Borrero (University of Michigan),A Predict-Then-Optimize Framework for Commercial-Humanitarian Airlift Operations under Operational Uncertainty,
17-Jun-26,11:30,Tracks,,,,,Doctoral paper session 2,,B,Hartmut Fricke (TU Dresden),,Norman Peter (TU Dresden),Overcoming limitations of analytical aircraft noise emission estimation using machine-learning,
17-Jun-26,12:00,Tracks,,,,,Doctoral paper session 2,,B,Hartmut Fricke (TU Dresden),,Marco Berger (TU Dresden),The Aviation External Cost Integrated Framework - Introducing a Comprehensive Aviation Emission Inventory Model,
17-Jun-26,11:30,Tracks,,,,,Doctoral paper session 3,,C,Jacco Hoekstra (TU Delft),,Pau Esteve (IFISC),Exploring delay propagation in air transport using temporal networks,
17-Jun-26,12:00,Tracks,,,,,Doctoral paper session 3,,C,Jacco Hoekstra (TU Delft),,Abhishek Rajaram (TU Dresden),Statistical Causality and Decomposition Analysis of Airline Reactionary Delay,
17-Jun-26,12:30,Info,Light Lunch,,,,,,,,,,,
17-Jun-26,13:30,Panel,Panel 1,Will the UAM bubble burst?,,"Dirk Schaefer (EUROCONTROL), Moderator",,,,,,,,
17-Jun-26,15:00,Highlight_Info,Refreshments,,,,,,,,,,,
17-Jun-26,15:30,Info,Tour of aerospace faculty,Student activity at Outdoor Delft,,,,,,,,,,
18-Jun-26,8:00,Info,Coffee,,,,,,,,,,,
18-Jun-26,8:30,Keynote,Keynote 2,Robin Radar: from birds and drones detection towards supporting advanced unmanned traffic management,,Vivien Croes (Robin Radar),,,,,,,,
18-Jun-26,9:15,Keynote,Keynote 3,From unexpected discovery to worldwide deployment,,Shane Kenny (AirNav Ireland) and  Karim Zeghal  (EUROCONTROL),,,,,,,,
18-Jun-26,10:00,Info,Coffee,,,,,,,,,,,
18-Jun-26,10:30,Tracks,,,,,Air traffic flow management and optimization II,1,A,Sameer Alam (NTU),52,Zhengyi Wang (EUROCONTROL),A Flow-Centric Approach for Network-Level ATFM Delay Optimization and Hotspot Resolution Using Hierarchical Monte Carlo Tree Search,"Thinh Hoang, Daniel Delahaye (ENAC) and Leïla Zerrouki (EUROCONTROL)"
18-Jun-26,11:10,Tracks,,,,,Air traffic flow management and optimization II,1,A,Sameer Alam (NTU),105,Sara Ruano Ferrer (CRIDA),A Transition-Aware Methodology for Configuration Pathways in Dynamic Airspace Management,"Pedro Muiño Martínez, Manuel Ángel Amaro Carmona, M. Florencia Lema Esposto and Nicolas Suárez (CRIDA)"
18-Jun-26,11:50,Tracks,,,,,Air traffic flow management and optimization II,1,A,Sameer Alam (NTU),121,Jorn van Beek (TU Delft),Mitigating Uncertainty in an Extended-Arrival Manager Environment,Joost Ellerbroek (TU Delft) and Ferdinand Dijkstra (LVNL)
18-Jun-26,10:30,Tracks,,,,,Integrated airport/airside operations I,2,B,Dave Lovell (UMd),74,Job de Vries (TU Delft),Stand Compatibility of Future Sustainable Aircraft. Case Study: The Elysian E9X,Niek van Amstel (NACO) and Pieter van den Berg (Elysian Aircraft)
18-Jun-26,11:10,Tracks,,,,,Integrated airport/airside operations I,2,B,Dave Lovell (UMd),117,Álvaro Quintanar (Indra),"Computer Vision-Based Safety Alerts for Airport Surveillance: A Multi-Camera System for Incursions, FOD and Wildlife",Juan Ramos and Guillermo del Valle-Reboul (Indra)
18-Jun-26,10:30,Tracks,,,,,"Safety, resilience, and security I",3,C,Fedja Netjasov (University of Belgrade),72,Songqiying Yang (King Abdullah University of Science and Technology),"Impact of Formation Size, Geometry, and Role Assignment on Collision-Avoidance Performance of Commercial Aircraft Formations",Ania Adil and Eric Feron (King Abdullah University of Science and Technology)
18-Jun-26,11:10,Tracks,,,,,"Safety, resilience, and security I",3,C,Fedja Netjasov (University of Belgrade),43,Dexiang Wang (Nanjing University of Aeronautics and Astronautics),Feudal Hierarchical Multi-Agent Reinforcement Learning for Cooperative Conflict Management in Sectorized Airspace,"Yanjun Wang, Lei Yang (Nanjing University of Aeronautics and Astronautics), Zhixin Miao (Central South ATMB) and Daniel Delahaye (ENAC)"
18-Jun-26,11:50,Tracks,,,,,"Safety, resilience, and security I",3,C,Fedja Netjasov (University of Belgrade),3,Suleman Khan (Linköping University),Formal Verification of Quantum-Resilient Authentication and Handover Protocols for LDACS,Gurjot Singh Gaba and Andrei Gurtov (Linköping University)
18-Jun-26,12:30,Info,Lunch,,,,,,,,,,,
18-Jun-26,13:30,Tracks,Tutorial session 1,,,,Tutorial session 1,,B,Xavier Olive (ONERA),,,Beyond ADS-B: exploring multi-modal aviation data with tangram,
18-Jun-26,13:30,Tracks,Tutorial session 2,,,,Tutorial session 2,,C,Xavier Prats (UPC),,,Dynamo3: Aircraft trajectory optimisation tool for research and education in air traffic management (ATM) and aircraft operations (OPS),
18-Jun-26,15:00,Info,Coffee,,,,,,,,,,,
18-Jun-26,15:30,Tracks,,,,,Weather in air transportation I,1,A,Marta Sánchez (CRIDA),32,Safa Saber (MIT Lincoln Laboratory),Weather Considerations for Terminal Airspace Capacity Decision Support Development,"Joe Venuti, Mark Worris and Tom Reynolds (MIT Lincoln Laboratory)"
18-Jun-26,16:10,Tracks,,,,,Weather in air transportation I,1,A,Marta Sánchez (CRIDA),48,Matthijs Slobbe (LVNL),Wind Field Nowcasting and Forecasting using Denoising Diffusion Probabilistic Models with Aircraft-Derived Data,Junzi Sun (TU Delft)
18-Jun-26,16:50,Tracks,,,,,Weather in air transportation I,1,A,Marta Sánchez (CRIDA),89,James Jones (MIT Lincoln Laboratory),Airspace Capacity Planning for Convective Weather Events,Benjamin Tolley (MIT Lincoln Laboratory)
18-Jun-26,15:30,Tracks,,,,,Integrated airport/airside operations II,2,B,David Lovell (UMd),5,Edward Londner (MIT Lincoln Laboratory),Monte Carlo Analysis of Runway Status Lights During a Runway Incursion,"Lawrence Capuder, Jesse Engle and Ian Jessen (MIT Lincoln Laboratory)"
18-Jun-26,16:10,Tracks,,,,,Integrated airport/airside operations II,2,B,David Lovell (UMd),112,Joost Ellerbroek (TU Delft),Departure Manager improvement through Vision-based Predicted End of Ground handling Time,Jens Bremer (TU Delft) and Ferdinand Dijkstra (LVNL)
18-Jun-26,16:50,Tracks,,,,,Integrated airport/airside operations II,2,B,David Lovell (UMd),95,Twan Keijzer (NLR),"Exercise, Exercise! The impact of hydrogen in aviation on airport emergency response","Lisette Hartog, Timo Nijman, Gijs Kaandorp (NLR), Jan-Daan Maasland, Jelle Moerkerken (Rotterdam The Hague Airport), Vincent van Hasselt, Luc Korzilius (Pipistrel), Lea Taillandier (French National Firefighter Officers Academy), Andrea Carrieri (Deep Blue Srl), Vasileios Kekkis (Aegean Airlines) and Persi Santamouri (Atehns International Airport)"
18-Jun-26,15:30,Tracks,,,,,"Safety, resilience, and security II",3,C,Xiaoqian Sun (Beihang University),96,Max Li (University of Michigan),Stakeholder Perspective Analysis for Airspace Resilience: Informing Countermeasure Design through Multi-Entity Coordination Assessment,"Neil G. Jacobson, Patty Clark (Project Gestalt), Megan Ryerson (UPenn), David Lovell (UMd), Curt Rademaker (ATAC) and Mark Hansen (UC Berkeley)"
18-Jun-26,16:10,Tracks,,,,,"Safety, resilience, and security II",3,C,Xiaoqian Sun (Beihang University),128,Yuheng Wang (The Hong Kong Polytechnic University),Learning-Based Pre-tactical Conflict Management Strategy for Urban Air Mobility,"Tinghe Zhang, Ang Li (The Hong Kong Polytechnic University) and Peng Wei (GWU)"
18-Jun-26,16:50,Tracks,,,,,"Safety, resilience, and security II",3,C,Xiaoqian Sun (Beihang University),77,Xiaoqian Sun (Beihang University),Airport resilience and climate change: A global study on airports,Sebastian Wandelt (Beihang University) and Massimiliano Zanin (Institute for Cross-Disciplinary Physics and Complex Systems)
18-Jun-26,19:00,Info,Gala Dinner,,,Nieuwe Kerk (the church opens at 18:30),,,,,,,,
19-Jun-26,8:00,Info,Coffee,,,,,,,,,,,
19-Jun-26,8:30,Tracks,,,,,Weather in air transportation II,1,A,James Jones (MIT Lincoln Laboratory),125,Soufiane Momtaz (Hassan II University of Casablanca),METAR-Based Probabilistic Nowcasting of Low Visibility Procedure Phases at Casablanca Airport,Otmane Idrissi (Hassan II University of Casablanca) and Hamza Taheri (AIAC Mohammed VI)
19-Jun-26,9:10,Tracks,,,,,Weather in air transportation II,1,A,James Jones (MIT Lincoln Laboratory),25,Wei Zhou (UPC),Chance Constrained Aircraft Trajectory Planning under Uncertain Convective Environment,Xavier Prats (UPC)
19-Jun-26,9:50,Tracks,,,,,Weather in air transportation II,1,A,James Jones (MIT Lincoln Laboratory),126,Soufiane Momtaz (Hassan II University of Casablanca),Enhanced Weather-Driven Time-Based Separation Procedure Triggering at London Gatwick Airport,Otmane Idrissi (Hassan II University of Casablanca)
19-Jun-26,8:30,Tracks,,,,,"4-D Trajectory planning, prediction and management",2,B,Daniel Delahaye (ENAC),87,Ramon Dalmau (EUROCONTROL),"A Unified, Vectorized and Differentiable Framework for Aircraft Performance Modelling",Gabriel Jarry and Philippe Very (EUROCONTROL)
19-Jun-26,9:10,Tracks,,,,,"4-D Trajectory planning, prediction and management",2,B,Daniel Delahaye (ENAC),98,Mohammed El Dor (TU Delft),Improving Interpretability in Trajectory Generation: A Case Study on Efficient Latent Space Utilization,"Marta Ribeiro, Junzi Sun and Jacco Hoekstra (TU Delft)"
19-Jun-26,9:50,Tracks,,,,,"4-D Trajectory planning, prediction and management",2,B,Daniel Delahaye (ENAC),122,Angelika Swatowska (EUROCONTROL),Data-Driven Aircraft Speed Profile Prediction for Enhanced Trajectory Realism,"Vincent Mouillet, Henrich Glaser-Opitz and Angela Nuic (EUROCONTROL)"
19-Jun-26,8:30,Tracks,,,,,"AAM economics, finance, and policy",3,C,Yu Zhang (USF),6,Xuhao Gui (ENAC),Regional-Scale Multimodal Service Optimization for Innovative Air Mobility Using MILP,Jean-Claude Lebègue and Daniel Delahaye (ENAC)
19-Jun-26,9:10,Tracks,,,,,"AAM economics, finance, and policy",3,C,Yu Zhang (USF),41,Dayeong Park (Korea Aerospace University),Third-Party Acceptance Factors for Urban Air Mobility,Sang Hyun Kim (Korea Aerospace University)
19-Jun-26,9:50,Tracks,,,,,"AAM economics, finance, and policy",3,C,Yu Zhang (USF),134,Mark Hansen (UC Berkeley),Like Uber or Like Buses? Economic Feasibility Analysis of UAM for Airport Access,"Shangqing Cao, Rishi Srinivasan and Raja Sengupta (UC Berkeley)"
19-Jun-26,10:30,Info,Coffee,,,,,,,,,,,
19-Jun-26,11:00,Tracks,Tutorial session 3,,,,Tutorial session 3,,B,Joost Ellerbroek (TU Delft),,,Reinforcement Learning for Air Traffic Control applications with BlueSky-Gym,
19-Jun-26,12:30,Highlight_Info,Closing Session,Best Paper Awards & Closing Announcement ATRDS 2027,,"Eric Neiderman, FAA and Dirk Schaefer, EUROCONTROL ",,,,,,,,
19-Jun-26,13:30,Info,Lunch,,,,,,,,,,,
19-Jun-26,14:00,Info,End of Day 4,,,,,,,,,,,
19-Jun-26,14:15,Info,ATR&D Symposium Committee Meeting ,,,End 15:30,,,,,,,,
